id,date,description,amount,type,account,category,subcategory,is_pnl,confidence,reasoning,review_required,review_reason
T1121,2026-03-08,Catering invoice payment week 1 (Corporate Catering Client),797.87,credit,Operating Checking (ACH deposit),Revenue,Corporate Catering Revenue,True,0.97,Corporate client catering invoice settlement.,False,
T1162,2026-03-08,To-go packaging and disposables (Restaurant Depot),1049.56,debit,Operating Checking (Card),Cost of Goods Sold,Packaging & To-Go Disposables,True,0.97,"Direct to-go containers, bags, and cutlery for takeout and delivery orders.",False,
T1122,2026-03-09,Delivery marketplace payout week 1 (DoorDash/Uber Eats),5667.06,credit,Operating Checking (ACH deposit),Revenue,Third-Party Delivery Sales,True,0.98,DoorDash and Uber Eats online customer order settlement payouts.,False,
T1123,2026-03-09,Refunds and discounts week 1 (Toast POS),764.35,debit,Operating Checking (POS adjustment),Revenue,Refunds & Customer Discounts,True,0.98,"Contra-revenue deduction for customer meal comps, refunds, and promo discounts.",False,
T1151,2026-03-09,Food inventory purchase - Local Produce Co.,4407.12,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Local Produce Co..,False,
T1173,2026-03-09,Internet and phone (Comcast Business),420.0,debit,Operating Checking (Card),Operating Expenses,Utilities - Telecom & Internet,True,0.98,Comcast fiber internet for POS terminal uptime and guest WiFi.,False,
T1124,2026-03-10,Delivery platform commission week 1 (DoorDash/Uber Eats),1521.08,debit,Operating Checking (Marketplace deduction),Cost of Goods Sold,Delivery Marketplace Commissions,True,0.99,Interchange and 20-30% marketplace merchant commissions deducted by DoorDash / Uber Eats.,False,
T1152,2026-03-12,Food inventory purchase - Butcher & Sons,2756.47,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Butcher & Sons.,False,
T1174,2026-03-12,Utilities - electric/gas/water (City Utilities),2101.38,debit,Operating Checking (ACH),Operating Expenses,"Utilities - Gas, Electric & Water",True,0.98,"Commercial gas kitchen appliances, refrigeration electric, and water service.",False,
T1160,2026-03-14,Beverage inventory purchase - Craft Beer Distributor,1946.77,debit,Operating Checking (ACH/card),Cost of Goods Sold,Beverage Inventory (COGS),True,0.98,Bar and liquor inventory restocking from Craft Beer Distributor.,False,
T1125,2026-03-15,POS batch deposit - food sales week 2 (Toast POS),19069.41,credit,Operating Checking (Bank deposit),Revenue,Dine-In & Takeout Food Sales,True,0.99,Toast POS weekly batch deposit for in-restaurant food sales.,False,
T1126,2026-03-15,POS batch deposit - beverage sales week 2 (Toast POS),6395.86,credit,Operating Checking (Bank deposit),Revenue,Beverage & Bar Sales,True,0.99,"Toast POS weekly batch deposit for bar, wine, and beer sales.",False,
T1127,2026-03-15,Catering invoice payment week 2 (Corporate Catering Client),2501.5,credit,Operating Checking (ACH deposit),Revenue,Corporate Catering Revenue,True,0.97,Corporate client catering invoice settlement.,False,
T1153,2026-03-15,Food inventory purchase - Bakery Supply,3260.32,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Bakery Supply.,False,
T1164,2026-03-15,Payroll - hourly kitchen and FOH wages (Gusto Payroll),19455.95,debit,Operating Checking (ACH),Payroll,Hourly Kitchen & FOH Wages,True,0.99,"Bi-weekly payroll for line cooks, dishwashers, servers, and bartenders via Gusto.",False,
T1128,2026-03-16,Delivery marketplace payout week 2 (DoorDash/Uber Eats),5260.62,credit,Operating Checking (ACH deposit),Revenue,Third-Party Delivery Sales,True,0.98,DoorDash and Uber Eats online customer order settlement payouts.,False,
T1129,2026-03-16,Refunds and discounts week 2 (Toast POS),666.78,debit,Operating Checking (POS adjustment),Revenue,Refunds & Customer Discounts,True,0.98,"Contra-revenue deduction for customer meal comps, refunds, and promo discounts.",False,
T1165,2026-03-16,Payroll taxes and benefits (Gusto Payroll),2304.89,debit,Operating Checking (ACH),Payroll,Payroll Taxes & Benefits,True,0.99,"Employer FICA, Medicare, state unemployment, and health benefits.",False,
T1175,2026-03-16,Cleaning and linen service (LinenPro),1064.65,debit,Operating Checking (ACH),Operating Expenses,Cleaning & Linen Services,True,0.98,"Commercial apron, bar towel laundry, and kitchen grease cleaning.",False,
T1130,2026-03-17,Delivery platform commission week 2 (DoorDash/Uber Eats),1414.9,debit,Operating Checking (Marketplace deduction),Cost of Goods Sold,Delivery Marketplace Commissions,True,0.99,Interchange and 20-30% marketplace merchant commissions deducted by DoorDash / Uber Eats.,False,
T1154,2026-03-18,Food inventory purchase - Sysco,5272.24,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Sysco.,False,
T1176,2026-03-18,Marketing - local ads (Meta/Google/Yelp),2293.06,debit,Operating Checking (Card),Operating Expenses,Marketing & Local Ads,True,0.96,"Yelp, Meta, and Google Maps local patron acquisition campaigns.",False,
T1180,2026-03-19,Owner distribution,5000.0,debit,Operating Checking (ACH),Non-P&L (Balance Sheet),Owner Drawings & Equity,False,0.96,"Shareholder/owner capital distribution. Reduces equity, not recorded as an operational wage.",True,"Owner equity draw ($5,000.00). Verify tax treatment against W-2/guaranteed payments."
T1155,2026-03-21,Food inventory purchase - US Foods,4170.16,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from US Foods.,False,
T1131,2026-03-22,POS batch deposit - food sales week 3 (Toast POS),21701.54,credit,Operating Checking (Bank deposit),Revenue,Dine-In & Takeout Food Sales,True,0.99,Toast POS weekly batch deposit for in-restaurant food sales.,False,
T1132,2026-03-22,POS batch deposit - beverage sales week 3 (Toast POS),6873.53,credit,Operating Checking (Bank deposit),Revenue,Beverage & Bar Sales,True,0.99,"Toast POS weekly batch deposit for bar, wine, and beer sales.",False,
T1133,2026-03-22,Catering invoice payment week 3 (Corporate Catering Client),804.75,credit,Operating Checking (ACH deposit),Revenue,Corporate Catering Revenue,True,0.97,Corporate client catering invoice settlement.,False,
T1163,2026-03-22,To-go packaging and disposables (Restaurant Depot),1078.24,debit,Operating Checking (Card),Cost of Goods Sold,Packaging & To-Go Disposables,True,0.97,"Direct to-go containers, bags, and cutlery for takeout and delivery orders.",False,
T1177,2026-03-22,Repairs and maintenance (Kitchen Repair Co.),1293.31,debit,Operating Checking (Card),Operating Expenses,Repairs & Maintenance,True,0.96,"Walk-in cooler maintenance, kitchen exhaust servicing, and plumbing repairs.",False,
T1134,2026-03-23,Delivery marketplace payout week 3 (DoorDash/Uber Eats),6091.44,credit,Operating Checking (ACH deposit),Revenue,Third-Party Delivery Sales,True,0.98,DoorDash and Uber Eats online customer order settlement payouts.,False,
T1135,2026-03-23,Refunds and discounts week 3 (Toast POS),749.54,debit,Operating Checking (POS adjustment),Revenue,Refunds & Customer Discounts,True,0.98,"Contra-revenue deduction for customer meal comps, refunds, and promo discounts.",False,
T1136,2026-03-24,Delivery platform commission week 3 (DoorDash/Uber Eats),1400.47,debit,Operating Checking (Marketplace deduction),Cost of Goods Sold,Delivery Marketplace Commissions,True,0.99,Interchange and 20-30% marketplace merchant commissions deducted by DoorDash / Uber Eats.,False,
T1161,2026-03-24,Beverage inventory purchase - Beverage Depot,2613.48,debit,Operating Checking (ACH/card),Cost of Goods Sold,Beverage Inventory (COGS),True,0.98,Bar and liquor inventory restocking from Beverage Depot.,False,
T1181,2026-03-24,Annual license renewal (City Business Licensing),900.0,debit,Operating Checking (ACH),Operating Expenses,Licenses & Permits,True,0.97,Annual municipal food handler and liquor service license renewal.,False,
T1156,2026-03-25,Food inventory purchase - Local Produce Co.,4664.04,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Local Produce Co..,False,
T1178,2026-03-25,Office/admin supplies (Staples/Amazon),298.26,debit,Operating Checking (Card),Operating Expenses,Office & Admin Supplies,True,0.95,"Receipt paper, manager supplies, and printer toner.",False,
T1157,2026-03-27,Food inventory purchase - Butcher & Sons,4250.16,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Butcher & Sons.,False,
T1166,2026-03-28,Payroll - hourly kitchen and FOH wages (Gusto Payroll),20297.75,debit,Operating Checking (ACH),Payroll,Hourly Kitchen & FOH Wages,True,0.99,"Bi-weekly payroll for line cooks, dishwashers, servers, and bartenders via Gusto.",False,
T1168,2026-03-28,Manager salary payroll (Gusto Payroll),6500.0,debit,Operating Checking (ACH),Payroll,Management Salaries,True,0.99,Fixed monthly salary for General Manager and Head Chef.,False,
T1137,2026-03-29,POS batch deposit - food sales week 4 (Toast POS),20096.63,credit,Operating Checking (Bank deposit),Revenue,Dine-In & Takeout Food Sales,True,0.99,Toast POS weekly batch deposit for in-restaurant food sales.,False,
T1138,2026-03-29,POS batch deposit - beverage sales week 4 (Toast POS),6994.47,credit,Operating Checking (Bank deposit),Revenue,Beverage & Bar Sales,True,0.99,"Toast POS weekly batch deposit for bar, wine, and beer sales.",False,
T1139,2026-03-29,Catering invoice payment week 4 (Corporate Catering Client),2981.88,credit,Operating Checking (ACH deposit),Revenue,Corporate Catering Revenue,True,0.97,Corporate client catering invoice settlement.,False,
T1167,2026-03-29,Payroll taxes and benefits (Gusto Payroll),2171.22,debit,Operating Checking (ACH),Payroll,Payroll Taxes & Benefits,True,0.99,"Employer FICA, Medicare, state unemployment, and health benefits.",False,
T1140,2026-03-30,Delivery marketplace payout week 4 (DoorDash/Uber Eats),6476.35,credit,Operating Checking (ACH deposit),Revenue,Third-Party Delivery Sales,True,0.98,DoorDash and Uber Eats online customer order settlement payouts.,False,
T1141,2026-03-30,Refunds and discounts week 4 (Toast POS),675.78,debit,Operating Checking (POS adjustment),Revenue,Refunds & Customer Discounts,True,0.98,"Contra-revenue deduction for customer meal comps, refunds, and promo discounts.",False,
T1142,2026-03-31,Delivery platform commission week 4 (DoorDash/Uber Eats),1692.87,debit,Operating Checking (Marketplace deduction),Cost of Goods Sold,Delivery Marketplace Commissions,True,0.99,Interchange and 20-30% marketplace merchant commissions deducted by DoorDash / Uber Eats.,False,
T1143,2026-03-31,POS batch deposit - food sales week 5 (Toast POS),8895.84,credit,Operating Checking (Bank deposit),Revenue,Dine-In & Takeout Food Sales,True,0.99,Toast POS weekly batch deposit for in-restaurant food sales.,False,
T1144,2026-03-31,POS batch deposit - beverage sales week 5 (Toast POS),2852.0,credit,Operating Checking (Bank deposit),Revenue,Beverage & Bar Sales,True,0.99,"Toast POS weekly batch deposit for bar, wine, and beer sales.",False,
T1145,2026-03-31,Catering invoice payment week 5 (Corporate Catering Client),1074.99,credit,Operating Checking (ACH deposit),Revenue,Corporate Catering Revenue,True,0.97,Corporate client catering invoice settlement.,False,
T1146,2026-03-31,Delivery marketplace payout week 5 (DoorDash/Uber Eats),2435.14,credit,Operating Checking (ACH deposit),Revenue,Third-Party Delivery Sales,True,0.98,DoorDash and Uber Eats online customer order settlement payouts.,False,
T1147,2026-03-31,Refunds and discounts week 5 (Toast POS),731.35,debit,Operating Checking (POS adjustment),Revenue,Refunds & Customer Discounts,True,0.98,"Contra-revenue deduction for customer meal comps, refunds, and promo discounts.",False,
T1148,2026-03-31,Delivery platform commission week 5 (DoorDash/Uber Eats),601.7,debit,Operating Checking (Marketplace deduction),Cost of Goods Sold,Delivery Marketplace Commissions,True,0.99,Interchange and 20-30% marketplace merchant commissions deducted by DoorDash / Uber Eats.,False,
T1158,2026-03-31,Food inventory purchase - Bakery Supply,3305.16,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Bakery Supply.,False,
